MemberInternalID,BranchID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RCategory,FCategory,MCategory,Segmentation,AOV,Branch_Name,Age,isCheating
1,4,1118,1,95000.0,33,0.0,1.2809276612957594,11.426975887098584,Low,Low,Low,Lost,95000.0,Sukomanunggal,34.0,1
1,5,190,2,205000.0,33,1.4285714285714286,2.7641070585855863,12.397559495719008,Low,Medium,Medium,Hibernating,102500.0,Klampis,34.0,0
1,4,1125,1,95000.0,33,0.0,1.2809276612957594,11.426975887098584,Low,Low,Low,Lost,95000.0,Sukomanunggal,34.0,1
1,4,1087,1,110000.0,33,0.0,1.4831793972898266,11.49439313242994,Low,Low,Low,Lost,110000.0,Sukomanunggal,34.0,1
1,4,1107,1,75000.0,33,0.0,1.0112586799703365,11.33708622665678,Low,Low,Low,Lost,75000.0,Sukomanunggal,34.0,1
1,5,2320,1,65000.0,33,0.0,0.8764241893076249,11.292141396435875,Low,Low,Low,Lost,65000.0,Klampis,34.0,1
1,4,1125,1,75000.0,33,0.0,1.0112586799703365,11.33708622665678,Low,Low,Low,Lost,75000.0,Sukomanunggal,34.0,1
2,5,1171,2,0.0,33,1.4285714285714286,0.0,11.476190476190476,Low,Medium,Low,Hibernating,0.0,Klampis,37.0,0
2,2,2038,1,90000.0,33,0.0,1.2135104159644037,11.404503471988136,Low,Low,Low,Lost,90000.0,Intro,37.0,1
8,3,2418,1,25000.0,33,0.0,0.3370862266567788,11.11236207555226,Low,Low,Low,Lost,25000.0,Graha Family,48.0,1
9,5,2418,2,220000.0,33,1.4285714285714286,2.966358794579653,12.464976741050362,Low,Medium,Medium,Hibernating,110000.0,Klampis,47.0,0
10,3,2060,16,1090000.0,33,21.428571428571427,14.696959482235556,23.041843636935663,Low,High,Medium,Can't Lose Them,68125.0,Graha Family,23.0,0
11,3,1039,11,607500.0,33,14.285714285714285,8.191195307759724,18.49230319782467,Low,Medium,Medium,Hibernating,55227.27272727273,Graha Family,38.0,0
12,3,370,4,245000.0,33,4.285714285714286,3.303445021236432,13.529719768983574,Low,Medium,Medium,Hibernating,61250.0,Graha Family,24.0,0
13,3,741,6,655000.0,33,7.142857142857142,8.831659138407606,16.32483876042158,Low,Medium,Medium,Hibernating,109166.66666666669,Graha Family,34.0,0
14,5,81,24,2090000.0,100,32.857142857142854,28.18040854850671,53.67918380188319,High,High,High,Champions,87083.33333333333,Klampis,27.0,0
15,3,91,26,2502500.0,67,35.714285714285715,33.74233128834356,45.48553900087643,Medium,High,High,At Risk,96250.0,Graha Family,6.0,0
16,5,823,27,1815000.0,33,37.142857142857146,24.47246005528214,31.538439066046426,Low,High,High,Can't Lose Them,67222.22222222222,Klampis,49.0,0
